,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,1.0,5.0,3.0,5.0,4.0,6.0,4.0,5.0,22.0,11.0,5.0,9.0,7.0,16.0,19.0,30.0,20.0,28.0,21.0,18.0,19.0,16.0,24.0,19.0,25.0,24.0,17.0,18.0,20.0,17.0,25.0,25.0,21.0,17.0,17.0,20.0,26.0,16.0,28.0,19.0,17.0,12.0,15.0,17.0,11.0,11.0,11.0,9.0,4.0,7.0,7.0,11.0,5.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0
2,5.0,0.0,0.0,0.0,6.0,2.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,4.0,20.0,15.0,7.0,12.0,9.0,16.0,17.0,26.0,27.0,12.0,14.0,11.0,13.0,29.0,33.0,26.0,24.0,25.0,28.0,26.0,21.0,23.0,24.0,19.0,13.0,18.0,15.0,18.0,13.0,14.0,9.0,17.0,16.0,13.0,12.0,10.0,4.0,7.0,6.0,5.0,6.0,4.0,9.0,4.0,7.0,5.0,8.0,5.0,6.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0
3,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,11.0,8.0,3.0,12.0,12.0,12.0,14.0,28.0,13.0,10.0,16.0,30.0,28.0,12.0,12.0,15.0,17.0,23.0,36.0,25.0,16.0,22.0,24.0,11.0,14.0,23.0,25.0,20.0,24.0,14.0,23.0,11.0,29.0,21.0,16.0,11.0,21.0,11.0,9.0,10.0,10.0,12.0,5.0,11.0,6.0,3.0,6.0,9.0,3.0,5.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0
4,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,3.0,0.0,2.0,4.0,3.0,8.0,6.0,7.0,4.0,4.0,19.0,20.0,33.0,36.0,21.0,29.0,43.0,39.0,43.0,34.0,31.0,32.0,27.0,35.0,31.0,22.0,23.0,19.0,18.0,20.0,13.0,15.0,17.0,14.0,7.0,11.0,12.0,8.0,8.0,15.0,12.0,7.0,7.0,4.0,9.0,7.0,5.0,5.0,10.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,6.0,5.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,3.0,3.0,4.0,18.0,8.0,15.0,32.0,25.0,24.0,30.0,33.0,26.0,20.0,22.0,23.0,21.0,27.0,23.0,15.0,28.0,23.0,18.0,16.0,19.0,19.0,18.0,12.0,14.0,13.0,15.0,10.0,11.0,9.0,18.0,14.0,10.0,13.0,11.0,14.0,8.0,11.0,11.0,6.0,3.0,4.0,3.0,6.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0
6,5.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,0.0,6.0,26.0,12.0,11.0,21.0,9.0,8.0,15.0,15.0,25.0,17.0,15.0,33.0,17.0,17.0,25.0,27.0,43.0,19.0,21.0,20.0,21.0,22.0,23.0,19.0,12.0,19.0,16.0,20.0,15.0,14.0,16.0,18.0,16.0,13.0,27.0,13.0,14.0,17.0,8.0,9.0,17.0,14.0,10.0,5.0,9.0,8.0,2.0,6.0,2.0,8.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0
7,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,8.0,5.0,14.0,20.0,13.0,13.0,19.0,16.0,14.0,24.0,23.0,25.0,28.0,36.0,36.0,45.0,22.0,33.0,34.0,26.0,24.0,22.0,25.0,13.0,17.0,20.0,13.0,14.0,17.0,16.0,11.0,12.0,13.0,12.0,3.0,6.0,10.0,6.0,12.0,5.0,4.0,6.0,14.0,5.0,7.0,9.0,4.0,2.0,1.0,8.0,4.0,6.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,6.0,4.0,1.0,2.0,1.0,3.0,3.0,0.0,2.0,2.0
8,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,7.0,4.0,4.0,3.0,1.0,9.0,16.0,6.0,5.0,17.0,5.0,14.0,28.0,25.0,26.0,23.0,42.0,50.0,35.0,28.0,27.0,26.0,21.0,25.0,19.0,17.0,24.0,14.0,16.0,18.0,12.0,15.0,18.0,10.0,13.0,13.0,14.0,10.0,15.0,5.0,7.0,12.0,6.0,11.0,10.0,13.0,8.0,10.0,2.0,9.0,4.0,5.0,4.0,1.0,8.0,4.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
9,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,5.0,4.0,5.0,2.0,5.0,8.0,6.0,10.0,4.0,8.0,15.0,13.0,7.0,8.0,15.0,12.0,17.0,15.0,19.0,16.0,12.0,22.0,19.0,32.0,35.0,14.0,25.0,26.0,23.0,24.0,24.0,20.0,18.0,26.0,33.0,11.0,23.0,17.0,11.0,17.0,12.0,10.0,23.0,5.0,6.0,11.0,9.0,13.0,6.0,4.0,6.0,15.0,9.0,7.0,11.0,3.0,5.0,7.0,5.0,1.0,3.0,4.0,4.0,0.0,7.0,2.0,3.0,3.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0
