,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/8/11,1148,102,66796807,46629.0,66750178.0,1.7198456010109817e-05,1.5280858127449488e-06,9.780617754994938e-07,1.559547446655756e-05
2020/8/12,1009,77,66796807,46706.0,66750101.0,1.5116081996639974e-05,1.1535563069784719e-06,9.480999501866463e-07,1.6278204624332065e-05
2020/8/13,1129,70,66796807,46776.0,66750031.0,1.6913849822781355e-05,1.0486886515453453e-06,9.502402505412763e-07,1.6231135640429137e-05
2020/8/14,1441,123,66796807,46899.0,66749908.0,2.1588044735582257e-05,1.8426991689636485e-06,9.224181267185985e-07,1.617336082403388e-05
2020/8/15,1077,41,66796807,46940.0,66749867.0,1.6134863609540974e-05,6.142334336036954e-07,9.159989566537086e-07,1.604710537190361e-05
2020/8/16,1040,9,66796807,46949.0,66749858.0,1.5580557489725295e-05,1.3483174750723814e-07,8.560745821236004e-07,1.5625500586486773e-05
2020/8/17,713,9,66796807,46958.0,66749849.0,1.0681672103857493e-05,1.3483176568684072e-07,8.368137185599547e-07,1.573894499353907e-05
2020/8/18,1089,99,66796807,47057.0,66749750.0,1.6314667845197923e-05,1.4831516222907202e-06,7.704690496614389e-07,1.4865761492080553e-05
2020/8/19,812,49,66796807,47106.0,66749701.0,1.2164848498722114e-05,7.340856852677138e-07,8.582177373280015e-07,1.5317357336158824e-05
2020/8/20,1182,61,66796807,47167.0,66749640.0,1.7707960672147445e-05,9.138626065998259e-07,8.539374539431626e-07,1.5574194552392053e-05
2020/8/21,1033,92,66796807,47259.0,66749548.0,1.5475760225372613e-05,1.3782864866740372e-06,8.453767702398224e-07,1.5873831501504734e-05
2020/8/22,1288,82,66796807,47341.0,66749466.0,1.9296034518088877e-05,1.2284742472696335e-06,8.13274944725785e-07,1.6077163970782358e-05
2020/8/23,1160,7,66796807,47348.0,66749459.0,1.7378418003357898e-05,1.0486976381336664e-07,8.432384216280566e-07,1.6582262404560447e-05
2020/8/24,853,5,66796807,47353.0,66749454.0,1.2779130747646265e-05,7.490697976345994e-08,8.196969075990868e-07,1.7309946870768787e-05
2020/8/25,1184,84,66796807,47437.0,66749370.0,1.7737995130141305e-05,1.2584388436924573e-06,8.1969803738042e-07,1.783003026745925e-05
2020/8/26,1048,63,66796807,47500.0,66749307.0,1.5700537535168716e-05,9.438300235836156e-07,7.619132911800203e-07,1.7444807088107475e-05
2020/8/27,1522,50,66796807,47550.0,66749257.0,2.2801751935605816e-05,7.490720083970373e-07,7.597731602134387e-07,1.863263719920185e-05
2020/8/28,1276,92,66796807,47642.0,66749165.0,1.911634400220587e-05,1.37829439514337e-06,7.554927953248941e-07,1.981618339307954e-05
2020/8/29,1108,55,66796807,47697.0,66749110.0,1.6599472262626424e-05,8.23981023866835e-07,5.906972944068718e-07,2.005375728795444e-05
2020/8/30,1715,6,66796807,47703.0,66749104.0,2.5693228781018543e-05,8.98888470472952e-08,6.805869386807296e-07,2.1038266565949297e-05
2020/8/31,1406,3,66796807,47706.0,66749101.0,2.1063954104790116e-05,4.4944425543648895e-08,6.97709190843999e-07,2.1494148523650357e-05
2020/9/1,1295,7,66796807,47713.0,66749094.0,1.9401012394265606e-05,1.0487033726630057e-07,7.105514861943466e-07,2.2915267744087213e-05
2020/9/2,1508,105,66796807,47818.0,66748989.0,2.259210248113271e-05,1.5730575335006198e-06,7.533565417073976e-07,2.4424136574734295e-05
2020/9/3,1735,58,66796807,47876.0,66748931.0,2.5992925639513238e-05,8.689277735399238e-07,7.597772760828103e-07,2.7148658735754697e-05
2020/9/4,1940,98,66796807,47974.0,66748833.0,2.9064178545263855e-05,1.468190462595803e-06,7.704784221270977e-07,3.0448897725652385e-05
2020/9/5,1813,75,66796807,48049.0,66748758.0,2.7161554077156013e-05,1.1236164124581914e-06,9.823608676535864e-07,3.294227970388565e-05
2020/9/6,2988,9,66796807,48058.0,66748749.0,4.476488390816133e-05,1.3483398767518474e-07,8.774911016054875e-07,3.540570135485874e-05
2020/9/7,2948,8,66796807,48066.0,66748741.0,4.416562703407394e-05,1.1985244785366065e-07,1.0187472627504913e-06,3.793976187598691e-05
2020/9/8,2460,106,66796807,48172.0,66748635.0,3.685468624189843e-05,1.5880474559517209e-06,8.967553115833687e-07,4.136202013559528e-05
2020/9/9,2659,56,66796807,48228.0,66748579.0,3.983605403794439e-05,8.389691711639284e-07,8.346894564096316e-07,4.49661972723009e-05
2020/9/10,2919,124,66796807,48352.0,66748455.0,4.373134928741047e-05,1.8577209015549499e-06,8.304090994423802e-07,4.569819463341524e-05
2020/9/11,3539,41,66796807,48393.0,66748414.0,5.301998636252241e-05,6.142468044259448e-07,8.346896690583667e-07,4.4998374722389706e-05
2020/9/12,3497,46,66796807,48439.0,66748368.0,5.2390794034095336e-05,6.891554262420318e-07,8.025873780190754e-07,4.637885762188473e-05
2020/9/13,3330,7,66796807,48446.0,66748361.0,4.9888865435961793e-05,1.0487148890442419e-07,8.261307095154909e-07,4.9229690017595456e-05
2020/9/14,2621,10,66796807,48456.0,66748351.0,3.926688765689508e-05,1.4981643516556687e-07,7.062784676475893e-07,5.024847611264684e-05
2020/9/15,3105,91,66796807,48547.0,66748260.0,4.65180665383637e-05,1.3633314186766817e-06,8.56096185067877e-07,5.192433380289437e-05
2020/9/16,3991,67,66796807,48614.0,66748193.0,5.9791880807919396e-05,1.0037724916388374e-06,9.138835091086868e-07,5.3904111021509895e-05
2020/9/17,3395,68,66796807,48682.0,66748125.0,5.086285195277021e-05,1.018755208479639e-06,9.652495846201393e-07,5.512196081716708e-05
2020/9/18,4322,111,66796807,48793.0,66748014.0,6.475099019425507e-05,1.6629708263679575e-06,9.652497292308147e-07,5.8861014157884986e-05
2020/9/19,4422,73,66796807,48866.0,66747941.0,6.624923456440401e-05,1.0936666945277008e-06,9.802328323572233e-07,6.275845936145134e-05
2020/9/20,3899,31,66796807,48897.0,66747910.0,5.8413814005562124e-05,4.644340174845924e-07,1.0230389628811585e-06,6.743925861218016e-05
2020/9/21,4368,10,66796807,48907.0,66747900.0,6.544026104192042e-05,1.49817447440294e-07,1.0744062525878426e-06,7.437160934633863e-05
2020/9/22,4926,98,66796807,49005.0,66747802.0,7.380018296332814e-05,1.4682131405615424e-06,1.0744080393026039e-06,7.98336267492111e-05
2020/9/23,6178,87,66796807,49092.0,66747715.0,9.255747556302115e-05,1.3034154053063838e-06,1.091531347378502e-06,8.330092720843806e-05
2020/9/24,6634,92,66796807,49184.0,66747623.0,9.93893070918795e-05,1.3783262364264268e-06,1.074409726171828e-06,8.714062542399514e-05
2020/9/25,6874,111,66796807,49295.0,66747512.0,0.00010298511201436242,1.6629833333712874e-06,1.1000930797516499e-06,8.644725131791656e-05
2020/9/26,6042,81,66796807,49376.0,66747431.0,9.052033777899257e-05,1.2135298510589868e-06,1.1942667256819007e-06,9.119231867445274e-05
2020/9/27,5693,23,66796807,49399.0,66747408.0,8.52917015144618e-05,3.4458266903787484e-07,1.2541960316223802e-06,9.318288955339042e-05
2020/9/28,4044,22,66796807,49421.0,66747386.0,6.0586642299370346e-05,3.296009224990474e-07,1.2798811233957895e-06,9.378229440606393e-05
2020/9/29,7143,142,66796807,49563.0,66747244.0,0.00010701565445908148,2.1274286620732986e-06,1.365494680119631e-06,9.398362155414767e-05
2020/9/30,7108,115,66796807,49678.0,66747129.0,0.00010649147171558495,1.7229205468897395e-06,1.3633560498860846e-06,0.00010860188955762695
2020/10/1,6914,104,66796807,49782.0,66747025.0,0.00010358514106059409,1.5581218788402928e-06,1.3997413941447424e-06,0.00014556046752141786
2020/10/2,6968,151,66796807,49933.0,66746874.0,0.00010439440205094849,2.2622782304381777e-06,1.4061627180117486e-06,0.00016386000483533942
2020/10/3,12872,80,66796807,50013.0,66746794.0,0.0001928482138033476,1.1985594394241617e-06,1.3740612781922805e-06,0.0001796961640283469
2020/10/4,22961,40,66796807,50053.0,66746754.0,0.0003440017472609979,5.992800788484785e-07,1.3826248390975328e-06,0.00019479394997994255
2020/10/5,12594,25,66796807,50078.0,66746729.0,0.00018868340349682155,3.7455018956809105e-07,1.4511166696191641e-06,0.00021753691796530368
2020/10/6,14542,127,66796807,50205.0,66746602.0,0.00021786876881013358,1.9027185833370215e-06,0.0,0.0
2020/10/7,14162,119,66796807,50324.0,66746483.0,0.00021217597337675454,1.782865473226507e-06,0.0,0.0
2020/10/8,17540,136,66796807,50460.0,66746347.0,0.0002627859169581221,2.0375646924917103e-06,0.0,0.0
